Rank,StockCode,Description,TotalQuantitySold,TotalRevenue
1,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,53215,13332.33
2,85099B,JUMBO BAG RED RETROSPOT,45066,83236.76
3,84879,ASSORTED COLOUR BIRD ORNAMENT,35314,56499.22
4,85123A,WHITE HANGING HEART T-LIGHT HOLDER,34147,93823.85
5,21212,PACK OF 72 RETROSPOT CAKE CASES,33409,16247.95
6,22197,POPCORN HOLDER,30504,23098.3
7,23084,RABBIT NIGHT LIGHT,27094,51137.8
8,22492,MINI PAINT SET VINTAGE,25880,15911.84
9,22616,PACK OF 12 LONDON TISSUES,25321,7258.55
10,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24163,11574.15
